,miss_M_pct,miss_F_pct,diff_FminusM,mean_miss
d1_main_respondent,15.25,14.68,-0.57,14.96
d1_num_foods_reported,15.19,14.58,-0.61,14.88
num_recall_days,15.19,14.58,-0.61,14.88
waist_circ_cm,14.75,15.0,0.25,14.88
d1_plain_water_g,15.19,14.58,-0.61,14.88
diet_2day_weight,15.19,14.58,-0.61,14.88
d1_tap_water_g,15.19,14.58,-0.61,14.88
infant_breast_fed,15.19,14.58,-0.61,14.88
d1_bottled_water_g,15.19,14.58,-0.61,14.88
d1_days_btw_intake_hhq,14.51,14.37,-0.14,14.44
dis_diff_concentration_remember,14.41,13.03,-1.38,13.72
dis_diff_dressing_bathing,14.41,13.03,-1.38,13.72
dis_diff_walking_climbing_stairs,14.41,13.03,-1.38,13.72
d1_interviewer_id,13.77,13.59,-0.18,13.68
d1_intake_day_of_week,13.77,13.59,-0.18,13.68
d1_tap_water_source,13.77,13.59,-0.18,13.68
d1_salt_added_at_table_yest,13.77,13.59,-0.18,13.68
salt_freq_added_when_cooking,13.77,13.59,-0.18,13.68
d1_food_amount_vs_usual,13.77,13.59,-0.18,13.68
on_any_special_diet,13.77,13.59,-0.18,13.68
salt_type_at_table,13.77,13.59,-0.18,13.68
d1_interview_language,13.67,13.42,-0.25,13.54
tooth_17_count_code,11.01,12.68,1.67,11.84
tooth_09_count_code,11.01,12.68,1.67,11.84
tooth_15_count_code,11.01,12.68,1.67,11.84
tooth_14_count_code,11.01,12.68,1.67,11.84
tooth_13_count_code,11.01,12.68,1.67,11.84
tooth_12_count_code,11.01,12.68,1.67,11.84
tooth_11_count_code,11.01,12.68,1.67,11.84
tooth_10_count_code,11.01,12.68,1.67,11.84
tooth_08_count_code,11.01,12.68,1.67,11.84
tooth_07_count_code,11.01,12.68,1.67,11.84
tooth_06_count_code,11.01,12.68,1.67,11.84
tooth_01_count_code,11.01,12.68,1.67,11.84
tooth_04_count_code,11.01,12.68,1.67,11.84
tooth_03_count_code,11.01,12.68,1.67,11.84
tooth_02_count_code,11.01,12.68,1.67,11.84
tooth_16_count_code,11.01,12.68,1.67,11.84
tooth_05_count_code,11.01,12.68,1.67,11.84
tooth_18_count_code,11.01,12.68,1.67,11.84
tooth_25_count_code,11.01,12.68,1.67,11.84
tooth_31_count_code,11.01,12.68,1.67,11.84
tooth_30_count_code,11.01,12.68,1.67,11.84
tooth_29_count_code,11.01,12.68,1.67,11.84
tooth_28_count_code,11.01,12.68,1.67,11.84
tooth_27_count_code,11.01,12.68,1.67,11.84
tooth_26_count_code,11.01,12.68,1.67,11.84
tooth_32_count_code,11.01,12.68,1.67,11.84
tooth_19_count_code,11.01,12.68,1.67,11.84
tooth_23_count_code,11.01,12.68,1.67,11.84
tooth_20_count_code,11.01,12.68,1.67,11.84
tooth_21_count_code,11.01,12.68,1.67,11.84
tooth_24_count_code,11.01,12.68,1.67,11.84
tooth_22_count_code,11.01,12.68,1.67,11.84
care_routine_place_type,14.01,9.53,-4.48,11.77
care_mental_health_prof_visit,12.01,10.9,-1.11,11.46
bmi,11.33,10.69,-0.64,11.01
standing_height_cm,11.21,10.58,-0.63,10.9
inc_monthly_poverty_index,10.81,10.15,-0.66,10.48
oh_told_gum_disease,11.01,9.78,-1.23,10.4
oh_reason_last_dental_visit,11.01,9.78,-1.23,10.4
consumed_coffee_before_draw,9.79,9.73,-0.06,9.76
chewed_gum_before_draw,9.79,9.73,-0.06,9.76
fasting_minutes_a,9.79,9.73,-0.06,9.76
took_antacids_before_draw,9.79,9.73,-0.06,9.76
took_supplements_before_draw,9.79,9.73,-0.06,9.76
fasting_hours_a,9.79,9.73,-0.06,9.76
consumed_alcohol_before_draw,9.79,9.73,-0.06,9.76
arm_circ_cm,8.26,8.91,0.65,8.59
upper_arm_length_cm,8.22,8.95,0.73,8.59
poverty_income_ratio,7.88,7.56,-0.32,7.72
oh_exam_status,7.32,7.48,0.16,7.4
oh_dentition_status,7.32,7.48,0.16,7.4
hs_questionnaire_source,7.32,7.48,0.16,7.4
blood_draw_session,7.32,7.48,0.16,7.4
pa_computer_hours_day,7.62,6.69,-0.93,7.16
pa_tv_hours_day,7.62,6.69,-0.93,7.16
pa_questionnaire_source,7.22,6.38,-0.84,6.8
imm_hep_a_vaccine_ever,7.04,6.11,-0.93,6.58
px_exam_session_minutes,6.34,6.77,0.43,6.56
bp_pulse_regularity,6.34,6.71,0.37,6.52
db_frozen_meals_past_30d,5.12,4.72,-0.4,4.92
db_ready_to_eat_past_30d,4.98,4.74,-0.24,4.86
db_meals_not_home_past_7d,4.74,4.54,-0.2,4.64
weight_kg,4.18,4.7,0.52,4.44
oh_oral_health_self_rated,4.06,3.94,-0.12,4.0
diab_taking_insulin,4.06,3.94,-0.12,4.0
oh_last_dental_visit,4.06,3.94,-0.12,4.0
diab_doctor_told_diabetes,4.04,3.94,-0.1,3.99
health_compared_year_ago,4.04,3.94,-0.1,3.99
