,r
neutrophil_pct,0.05140742974080275
tooth_18_sealant,-0.050982964499653484
diab_risk_told_by_doctor,-0.050934692286216623
d1_vit_c_mg,-0.05048368946145756
diab_blood_test_past_3yr,-0.05018455141578833
mc_told_reduce_sodium_past_12mo,-0.05009243572111957
mc_heart_attack_ever,0.04948044297757784
tooth_15_sealant,-0.04871221135392889
d1_caffeine_mg,-0.04849393169580188
bp_told_to_take_chol_meds,0.04845083489942026
hiv_combo_ab_ag,0.04832129408192817
sx_age_first_sex,0.04801957768254688
num_recall_days,0.04774366724470757
tooth_17_count_code,0.047714226430878325
grip_seat_adjusted,0.04754586686758777
oral_hpv_type_59,0.047523256447948345
cs_exam_status,0.047436614131736846
blood_cadmium_below_lod,-0.04728694574587092
cs_smell_smoke,0.04728033591827146
wbc_1000ul,0.04714111880627463
d1_sfa_c8_g,-0.047061732180573045
gen_health_cond,0.04693548780845432
bp_enhancement_2,-0.04606738790168114
oh_exam_status,0.04603671151565927
cs_nacl_tongue_tip_grade,0.04591252478698678
skin_reaction_sun_hour,-0.045736615670334095
sun_protection_wear_long_sleeves,0.04544898399070108
tooth_05_sealant,0.045376166536364164
oh_tongue_examined_ever,-0.04473234309184396
oral_hpv_type_66,0.04464459957213616
cs_allergy_hay_fever,-0.04437431666696116
d1_mufa_c22_1_g,-0.04400106852959418
cs_problem_during_pregnancy,0.043933131844441024
cs_smell_strawberry,-0.04387955717415774
sx_ever_genital_herpes,-0.043788355203198265
db_milk_reg_use_change,0.043087834650817704
lymphocyte_1000ul,0.043025409434271605
tooth_18_count_code,-0.043017074230127704
mc_currently_controlling_weight,-0.04296695548528386
tooth_31_sealant,-0.04296637900698391
pf_need_special_equipment,-0.04288637203051601
oral_hpv_type_6,0.04268969251159198
tooth_07_sealant,-0.04234728660058262
catfish_past30d,0.04232933056603185
tooth_10_sealant,-0.04222931629788066
tooth_31_count_code,-0.04207861186297406
oral_hpv_type_61,0.04165832778439308
pest_used_home_past_year,0.04161556561794471
cs_inability_smell_smoke,-0.041558608726084634
oral_hpv_type_55,0.04131513670092597
oral_hpv_type_62,0.04112071050659702
grip_exam_status,0.041059619750418296
occ_longest_job_years,-0.040900681938269096
oral_hpv_type_56,0.04032739974771671
arm_circ_cm,-0.04013391859236012
other_fish_past30d,-0.04005590697174235
oral_hpv_type_84,0.03993100561528029
tooth_02_count_code,-0.03984156276902186
tooth_02_sealant,-0.039774490199162495
smoke_nonsmoker_harm_exposure,0.03966157001090132
tooth_05_count_code,0.039003358798032114
oral_hpv_type_81,0.038974119589530225
d1_pufa_c18_4_g,-0.03880363543448994
oral_hpv_type_72,0.03865265544711914
oral_hpv_type_33,0.03828876480639988
urine_albumin_mgl,-0.03825864918564226
oh_dentition_status,0.03797981551444453
oysters_past30d,0.037743053224187764
oral_hpv_type_58,0.03753357543486077
diab_risk_feels_at,-0.037466600621331045
oral_hpv_type_51,0.037348054300396866
