,interview_weight_2yr,weight_kg,standing_height_cm,bmi,bmi_category_child,upper_leg_length_cm,upper_arm_length_cm,arm_circ_cm,waist_circ_cm,grip_exam_status,grip_pain_in_hands_30d,grip_difficulty_grasp_objects,grip_difficulty_reach_above_head,grip_months_since_hand_surgery,grip_90deg_arm_possible,grip_seat_adjusted,grip_preferred_hand,grip_start_testing_hand,grip_hand1_trial1_kg,grip_hand1_trial1_effort,grip_hand2_trial1_kg,grip_hand2_trial1_effort,grip_hand1_trial2_kg,grip_hand1_trial2_effort,grip_hand2_trial2_kg,grip_hand2_trial2_effort,grip_hand1_trial3_kg,grip_hand1_trial3_effort,grip_hand2_trial3_kg,grip_hand2_trial3_effort,grip_dynamometer_size,diet_day1_weight,diet_2day_weight,sub_fasting_weight,sub_h_weight_a,cs_problem_caused_weight_gain,ec_birth_weight_lb,fs_hh_weight_loss_food_12mo,mc_overweight_told_ever,mc_told_control_weight_past_12mo,mc_currently_controlling_weight,osteo_hip_fracture_ever,osteo_mother_hip_fracture,osteo_father_hip_fracture,wh_height_in,wh_weight_current_lb,wh_weight_self_perception,wh_trying_change_weight,wh_weight_year_ago_lb,wh_trying_lose_weight_year,wh_weight_10yr_ago_lb,wh_weight_age_25_lb
grip_months_since_hand_surgery,-0.013078357027447193,0.008021661646964015,0.010963110975954125,-0.0013241756770962698,-0.008593483200736236,0.03585165102238435,0.008053776829939423,0.00470808768478585,0.005102861313159145,0.015349263250004427,-0.027591998299886955,-0.009015053631009002,-0.01642201690159266,1.0,-0.017838015054916834,0.010104217648546032,0.014151614105733587,-0.0069670370173243856,0.037507771347491316,-0.018474433510587387,0.037138486508728974,-0.009474114954979566,0.03728365742820405,-0.01645289562889692,0.03573345215033559,-0.00556680586317238,0.03415068397770882,-0.0032705603478038582,0.035514793450439966,-0.005717621590949534,0.038104356196051785,-0.010708801588098641,0.0006525748587809949,-0.03480348763986209,-0.027522186881900012,-0.01777156980834781,-0.0313223638374845,-0.018080631355538654,0.007084764638271897,0.009336593398571532,-0.00035434937696480643,0.0016911454998235372,0.008771915379302973,0.026208870558275203,0.023941921069030585,-0.005229343982350639,0.028104571577331913,0.00414808757330702,0.010029486979719154,0.027842033957723156,0.016915585440509598,0.0115183762741297
grip_90deg_arm_possible,-0.008296074880902104,-0.026602186787853227,-0.04832722596144562,-0.009930894017708808,-0.0018612517131240795,-0.042417345108285806,-0.039798005353086335,-0.02639384198289604,-0.01089584511457669,0.051432276852780026,0.0017233922092758354,-0.02581891896100519,-0.01990422772881076,-0.017838015054916834,1.0,0.03888933719184105,-0.01069811081316082,0.012111188987649322,-0.055240511586365074,0.030104791699869515,-0.06163565959863625,0.06565463210620526,-0.052995644423834386,0.005648549192384407,-0.061748423908622875,0.051346829573325,-0.0536094016454513,0.041407978456306366,-0.05578904083447551,0.04344614498336454,-0.058433755828891216,-0.0060848775181452696,0.0013266368899064432,-0.003384104326210919,-0.022415121743572394,0.020741916016411708,-0.015376046624535306,0.009031511704785684,-0.009780697622474644,-0.0012068057303115903,0.015272900460752224,-0.019059864801547394,-0.0013547050686145354,-0.006668748787159434,-0.007101277806589685,-0.00789678519770091,0.007914341293175638,0.01880063877137622,-0.009727089740504133,0.013455455689045746,0.012215382703807919,0.003453095717986633
grip_seat_adjusted,-0.06524368415663435,0.07434336380996048,-0.07859521115542856,0.12522803736817525,,-0.08488913295748193,0.023344432727798823,0.05800382701391248,0.14414707288146533,0.06667409690191374,-0.045792199434490116,-0.06228307935116833,-0.04065145436260217,0.010104217648546032,0.03888933719184105,1.0,-0.007827890489082256,-0.0037769849984306014,-0.19294802949498122,0.029081732859682054,-0.181964657189783,0.02553734838704455,-0.1912671253414573,0.05636994649256059,-0.18681115432181686,0.04967215673054252,-0.1916348037453315,0.012707468473624382,-0.1838631124432084,0.009779092614028649,-0.18995988737768935,-0.058859831578421416,-0.04136544426553667,-0.044631906760753716,-0.08013497288415458,0.03948149316905454,,0.02406228408116348,-0.05513015677927148,-0.0748672225833069,-0.0050696081567625515,-0.14873232166566905,0.035867562635259,0.03597111874834273,0.011627112056149311,0.019254099426225,-0.02551314341356075,0.027119763616576083,0.025649118967917845,0.036352664765964264,0.038603082853682906,0.014615857284052226
grip_preferred_hand,0.004782140312899748,0.0061593670255163605,0.02474871827227288,-0.01009056689252313,-0.01902058996839632,0.02028068930581071,0.020355480325233776,-0.003307761716841817,0.003941968743215971,0.004087328368515669,-0.0010063928597884122,0.00583060019519757,0.009013723596511362,0.014151614105733587,-0.01069811081316082,-0.007827890489082256,1.0,-0.9705392745684877,0.08137667667132928,-0.015027644678909392,-0.04139056666130746,0.027895747266959436,0.08633013277369986,-0.013242586921265643,-0.04433407646339041,0.003583958565550456,0.08460122462654004,-0.012074600558987458,-0.05058008690907885,0.025639792882097487,0.019511768519335712,0.026377549921154698,0.013671989989183382,0.012333764574591835,0.02436448735764025,0.0225315707405707,-0.024802738244369814,0.008482470244294871,0.002383949000370111,0.003587431778597695,0.002296778937478479,-0.004784184620000475,0.002453513863972208,-0.0035836578356990456,-6.0275977953901936e-05,-0.003919261534399902,0.010293038460136848,0.005467854550751783,0.009941642812039554,0.011064444985150702,0.008564865837312289,0.007840438156173293
grip_start_testing_hand,-0.007706616731136234,-0.005253290501490169,-0.024112284381806435,0.010550533977738027,0.024964106138297644,-0.015324293621409166,-0.02090668431393352,0.0031008740530085338,-0.0033466438803249517,-0.002118672038985802,-0.0005110588741112649,-0.0012883024375308992,-0.00966446712776343,-0.0069670370173243856,0.012111188987649322,-0.0037769849984306014,-0.9705392745684877,1.0,-0.07997310374677598,0.01624389694165931,0.04139056666130746,-0.027895747266959436,-0.08467886226345916,0.01128831062184559,0.04433407646339041,-0.003583958565550456,-0.08363540444093757,0.014250689128438784,0.05058008690907885,-0.025639792882097487,-0.019511768519335712,-0.0283368235025824,-0.016167328636683652,-0.01628648128942325,-0.027560737473731126,-0.0142675146853636,0.024200228886843467,-0.007332311985857302,-0.005688676686789088,-0.003218900910551727,-0.006998844694111707,0.000122703576487285,-0.0025873509566830947,-0.001588052953732335,-0.003688645839796041,5.5579092935179264e-05,-0.013363827262060486,-0.009516328321819796,-0.009652718854796481,-0.015279049825653371,-0.008397290798397124,-0.01478446858166869
grip_hand1_trial1_kg,0.24393235804927738,0.6069028494018028,0.7935827936586727,0.34649048528885984,0.15937362815410447,0.6553447746931352,0.735467626636416,0.5726165807295042,0.447798868870921,-0.008384469979331724,0.07819810456404966,0.006681015878695199,0.010963411421702662,0.037507771347491316,-0.055240511586365074,-0.19294802949498122,0.08137667667132928,-0.07997310374677598,1.0,-0.13010750770654064,0.9287785191287081,-0.07421110754314611,0.963524203962817,-0.06018923990188764,0.9193807649084598,-0.06430894151820275,0.9553867179670783,-0.0675401565977354,0.9158264050857462,-0.05290034693348247,0.9596561263413562,0.20442219965786723,0.13654128829151363,0.13571072105482845,0.3769838770796913,0.023313282667103547,0.03305220705380963,0.018326724639277706,0.0405333883950489,0.0461196703917488,0.006694526556547825,0.081586533855738,-0.021062851307811055,-0.023874633541145125,-0.043559997790934474,-0.017477069673497655,0.045622704975736374,-0.03759878164162217,-0.031572060994764485,0.02257461230509992,-0.05009291030783248,-0.03579457976529486
grip_hand1_trial1_effort,-0.06379528384499149,0.010343490812893387,-0.018607482546409457,0.027519608015621908,0.02989397464443077,-0.028894415130019786,-0.011639986954922393,0.01804025950856667,0.028910932570131748,-0.0014181530416022775,0.006599607875913324,-0.02150954720076933,-0.04212568250446112,-0.018474433510587387,0.030104791699869515,0.029081732859682054,-0.015027644678909392,0.01624389694165931,-0.13010750770654064,1.0,-0.053826210965130995,0.3187009977376101,-0.06210775819570975,0.1520628883149062,-0.045863502721198185,0.13593988313565322,-0.05640683804223487,0.0899444922423248,-0.043598585846481186,0.07959820592417463,-0.05219526228837608,-0.04128790096350468,-0.04002581441696606,-0.054376756713899334,-0.05625195006631188,-0.005311940367770829,0.018534802493661743,0.013505003560433212,-0.009668614865246903,-0.03397832753226354,-0.004903860999381612,-0.028488219895792,-0.008649089032086794,0.003762596626013782,0.03704612400887875,-0.0015374873582171384,-0.002239387928522211,0.010352470666499615,0.01135710253598694,0.011614047995791604,0.02232465102474225,0.041313815459918635
grip_hand2_trial1_kg,0.24190030929836764,0.6154835458052162,0.7942919615964287,0.3561316911560832,0.15793643500250792,0.659627559930008,0.740175133353086,0.581573044441109,0.45357961518678763,-0.020536741548525916,0.08489383019163184,0.0027741131002111596,-0.0004526782704916756,0.037138486508728974,-0.06163565959863625,-0.181964657189783,-0.04139056666130746,0.04139056666130746,0.9287785191287081,-0.053826210965130995,1.0,-0.11696433678058961,0.9335889601408737,-0.06075293956887719,0.9729405989615901,-0.0685891347075424,0.9290481101856296,-0.06590090389121063,0.9671443528091622,-0.06479887562428317,0.9708809373598479,0.2047249598629209,0.13585843459377936,0.13309390999936987,0.37224960064732876,0.033806704037775005,0.047145779775686784,0.00405820120450501,0.03176521490679663,0.04374343050388148,0.004938794863447447,0.095207186818267,-0.030862578866358105,-0.027104775077884842,-0.03937158300530685,-0.001824555653534962,0.051914055381208656,-0.0315891073728879,-0.01776099600200284,0.03594950142251697,-0.04146550383146813,-0.019645023190513883
grip_hand2_trial1_effort,-0.03835613972678021,-0.01068491362692178,-0.04054367120626046,0.013253582130154803,0.028271115517732103,-0.041661121588725834,-0.03812536005195513,-0.005143547232666145,0.0017542274583176479,0.025639337202539303,-0.020655358761338897,-0.0204639200733447,-0.01814824215085713,-0.009474114954979566,0.06565463210620526,0.02553734838704455,0.027895747266959436,-0.027895747266959436,-0.07421110754314611,0.3187009977376101,-0.11696433678058961,1.0,-0.07005287034174502,0.23128698537615783,-0.07931202413263817,0.1996828924239499,-0.05986937048694037,0.09677513874044538,-0.07424699256172072,0.13254423104457055,-0.07005340718710878,-0.031035254576247614,-0.024080718914074373,-0.03308948688118567,-0.024120885166233952,0.007001126753183705,0.005820040513206316,0.0045199005706053254,0.0035362402285800867,-0.013112417880131393,0.008083187626071124,-0.03283762622942745,-0.012667668099029963,9.888279436369497e-05,0.04780612201696037,-0.014583794436601032,-0.008310515355279173,-0.00934240411234718,-0.008437741787284148,-0.009232338129326535,0.021516787584416292,0.015795414795320584
grip_hand1_trial2_kg,0.24237557020261283,0.6160998332158363,0.7947231929173103,0.35740772368067286,0.15615273991166592,0.6483987934139306,0.7384676775258491,0.5841546944654846,0.4589341182497885,-0.01134050803672126,0.07665265684027167,-0.0036997081756729912,-0.001528843258263323,0.03728365742820405,-0.052995644423834386,-0.1912671253414573,0.08633013277369986,-0.08467886226345916,0.963524203962817,-0.06210775819570975,0.9335889601408737,-0.07005287034174502,1.0,-0.11066324748197601,0.9371504481559172,-0.06609173461369958,0.9764192884437646,-0.07619914335038082,0.9334630262601683,-0.053632359203303503,0.9758898746265622,0.2055054733729833,0.13408398876843805,0.13039511186279817,0.37583849428436694,0.024269119602622968,0.03501935343953188,0.010552836269994087,0.03827527655677844,0.03730318376678955,-0.0004518432042612873,0.08443091712029602,-0.022074813884985552,-0.02478465150367342,-0.04071361086919069,-0.010093601682732005,0.04377235924831914,-0.0349504287688256,-0.02452984211937564,0.02586922947526565,-0.0450021157332283,-0.018999617220842927
grip_hand1_trial2_effort,-0.04075756386256013,-0.01443568895970725,-0.03926836458026488,0.004794809537881155,0.052089038722443214,-0.028724685434830612,-0.02489288456946055,-0.009702895457676579,-0.005495585693373886,0.005668790916217333,-0.010188741659927657,-0.019564125103835008,0.004435959456558544,-0.01645289562889692,0.005648549192384407,0.05636994649256059,-0.013242586921265643,0.01128831062184559,-0.06018923990188764,0.1520628883149062,-0.06075293956887719,0.23128698537615783,-0.11066324748197601,1.0,-0.06683670009070591,0.21949572059678504,-0.07420922326157017,0.1817764471062989,-0.06153268951251645,0.1435781788009377,-0.0632956638671083,-0.025542370857246092,-0.010738045720745536,-0.03816185577744803,-0.033619694193390635,-0.007881288935749959,0.018932829843451286,0.015284633449272902,-0.032433799688992924,-0.022409731372582134,0.04167598400668799,-0.07082433833003678,0.02589995142613781,0.05438029488931088,0.049643656510385444,0.02134349932709318,-0.02108881715468331,-0.022015547720931224,-0.0012082967771532274,0.0021035907743768437,0.02671073034101538,0.01829284231970179
grip_hand2_trial2_kg,0.243936540240801,0.6174825282434686,0.7939108664585889,0.3599764914279636,0.16438566334930393,0.6562310475090835,0.7405730820036283,0.5882332811945364,0.45745031661620167,-0.018530302390302553,0.08492040128771819,0.0005420520245205076,-0.0026701037495511864,0.03573345215033559,-0.061748423908622875,-0.18681115432181686,-0.04433407646339041,0.04433407646339041,0.9193807649084598,-0.045863502721198185,0.9729405989615901,-0.07931202413263817,0.9371504481559172,-0.06683670009070591,1.0,-0.10589473562660433,0.9381217204116551,-0.07233074383890223,0.9793176823058499,-0.06806245193643608,0.978885903375753,0.20589569239574623,0.13689933726998277,0.13183518564460725,0.37917522694587585,0.03678100478720446,0.043462213346152107,0.004198376471672536,0.035088846190987295,0.03879999189065472,0.0015442901133526387,0.09720466613104686,-0.03177736402245268,-0.02986857062726326,-0.04233977198480565,-0.005019673652891153,0.04833180479531744,-0.02842092861598018,-0.018102046144954736,0.03750942503149221,-0.03751549893948333,-0.012925231255980848
grip_hand2_trial2_effort,-0.03389612146566107,-0.02924084584023642,-0.04391993517936107,-0.009271779724589728,0.016742613114734246,-0.03587353215994401,-0.035204992090022834,-0.02693593384541413,-0.01599867823927449,-0.002919818725164331,-0.034799110471780054,-0.004607685023569171,0.00978203575482142,-0.00556680586317238,0.051346829573325,0.04967215673054252,0.003583958565550456,-0.003583958565550456,-0.06430894151820275,0.13593988313565322,-0.0685891347075424,0.1996828924239499,-0.06609173461369958,0.21949572059678504,-0.10589473562660433,1.0,-0.0627901074658087,0.15648260131719782,-0.07479555448817335,0.1854901847847456,-0.07042778068819663,-0.027295854458770998,-0.028574228754437467,-0.028361774980131337,-0.02390089483278899,0.018143956907473308,0.012336922482011308,0.06295724859845175,-0.010736228480675535,-0.0027151018394214604,0.03991603810109643,-0.049319494179712924,0.02226559774418786,0.017305147118210937,0.06579874343524117,-0.00986965930744654,-0.004665787739070142,-0.00887556255902463,-0.012345403161724243,0.004375788808559423,0.02192696553259766,0.03093364871952726
grip_hand1_trial3_kg,0.24043817915688576,0.6168590956126109,0.7939493473461708,0.35915673385921015,0.1552255085604055,0.6524111500513582,0.739242788727706,0.5872076589636784,0.4573575312036062,-0.01849970532255468,0.08213138383893531,-0.0005154255476660804,0.0030008155631648845,0.03415068397770882,-0.0536094016454513,-0.1916348037453315,0.08460122462654004,-0.08363540444093757,0.9553867179670783,-0.05640683804223487,0.9290481101856296,-0.05986937048694037,0.9764192884437646,-0.07420922326157017,0.9381217204116551,-0.0627901074658087,1.0,-0.11292606558604827,0.9408900369294771,-0.06335961996565456,0.980266272505459,0.20247625705149666,0.13157464653206344,0.13420617702101076,0.3790616809544733,0.024558418272612324,0.04007456307512016,0.011882029011683923,0.03883626930770136,0.038911655735460494,-0.0034453837624894494,0.08821909122015799,-0.01840947549561616,-0.025141698502254603,-0.03550420325281193,-0.013603803802382623,0.04411166918308208,-0.030744646464170276,-0.027773456684772872,0.024930707603201072,-0.045515945120164665,-0.021428794495896623
grip_hand1_trial3_effort,-0.032267888304847336,-0.013372047259749368,-0.04960850475931139,0.009234788074472897,0.035504846334295175,-0.03254969415408849,-0.03717734555661573,-0.00950966764153664,-0.00039270248717681114,-0.0062045871942086545,-0.013790143057647372,-0.01687708004871461,-0.025231954423940398,-0.0032705603478038582,0.041407978456306366,0.012707468473624382,-0.012074600558987458,0.014250689128438784,-0.0675401565977354,0.0899444922423248,-0.06590090389121063,0.09677513874044538,-0.07619914335038082,0.1817764471062989,-0.07233074383890223,0.15648260131719782,-0.11292606558604827,1.0,-0.07895256044165153,0.2538143412228894,-0.07446519445132167,-0.02648770262147859,-0.025461734251445024,-0.026607061390490575,-0.03769699910264083,-0.021890893094022833,-0.026975904244149432,-0.010325139792340282,-0.01323775082980595,-0.0012890332252220623,0.04100261836504557,-0.04501189827331664,-0.00812757747170691,0.015802010841857565,-0.010200491275895826,0.008971732312247542,-0.003786343027718786,-0.011023014687953116,0.002239074572829767,0.008862961709006325,0.002102584571232618,-0.020513569821258286
